@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
38.4583,-91.7028,-67
46.9056,-109.4114,-17
36.6983,-77.5597,-39
38.9272,-79.8311,-50
30.7806,-85.5503,56
37.2889,-96.9408,-67
35.0681,-109.7689,-56
47.8214,-101.2922,-50
47.2472,-122.4122,0
37.8131,-100.3456,-117
35.6722,-85.7811,50
34.7994,-109.885,-28
42.8267,-71.6261,-100
32.2542,-111.1961,6
40.98,-115.17,-51
36.1878,-81.8736,-67
44.8797,-87.3356,-100
39.2422,-93.97,-83
46.8947,-99.9483,-83
44.5078,-123.4575,-50
47.6581,-92.1958,-94
44.61,-111.15,-212
43.6342,-90.3792,-117
45.8608,-84.7197,-67
44.0042,-124.0947,6
42.0356,-92.5806,-111
37.7333,-105.5119,-161
40.7264,-122.7947,-17
37.39,-94.7025,-78
34.86,-111.61,-68
65.4939,-144.6422,-122
38.67,-119.82,-95
43.5697,-76.1164,-22
47.92,-112.82,-44
39.5631,-121.1078,11
42.3356,-73.2506,-89
31.3944,-92.7164,44
36.3022,-78.6108,44
39.6811,-77.2914,-28
46.8339,-100.7969,-22
45.6778,-121.8736,-56
40.5831,-105.6319,-178
30.8714,-89.1214,33
40.1347,-90.4792,-83
62.07,-142.05,-89
47.6017,-112.7536,-106
34.8822,-91.2153,0
33.7869,-116.9583,83
42.2792,-91.525,-111
46.8372,-95.8372,-150
41.33,-106.38,-81
46.18,-121.93,-42
39.9167,-76.75,-33
31.1681,-81.5022,106
47.28,-121.47,-50
40.1311,-84.2342,-17
47.8664,-93.0267,-94
33.1581,-85.2911,83
43.4458,-86.0264,-61
36.2347,-115.1164,-6
46.2553,-114.1642,-183
43.4867,-110.7614,-233
39.8183,-97.6375,-133
36.6667,-80.4481,-56
38.7569,-82.8872,-44
31.8278,-99.4319,-39
38.835,-91.1386,-67
47.27,-113.76,-143
18.2264,-65.9114,200
32.7056,-94.7889,22
47.23,-120.29,19
58.1072,-135.4278,6
33.2544,-100.5725,-67
42.22,-122.37,-34
45.1308,-90.3439,-111
32.7483,-97.77,-17
40.5019,-80.0833,-44
44.5733,-116.6753,-28
45.1703,-84.4397,-78
40.0744,-75.3178,-33
43.0739,-72.4053,-94
66.57,-145.25,-272
43.9364,-90.8164,-100
44.6342,-123.19,-39
41.0517,-95.7492,-122
34.6997,-76.7381,11
32.7128,-82.5414,72
43.175,-102.7458,-100
60.4922,-149.8089,-22
42.9944,-88.8042,-100
37.1025,-82.8047,-83
39.6167,-83.9,6
37.345,-77.9781,0
40.8803,-121.6547,-111
32.1794,-110.7364,6
36.9839,-77.0078,56
21.4783,-158.1964,172
45.6583,-95.4392,-111
46.8208,-88.6064,-83
40.2847,-100.1433,-178
35.8147,-85.4244,-17
45.1786,-89.6617,-111
39.7539,-121.6242,56
35.8528,-77.0306,-6
45.3653,-119.5639,-94
40.86,-115.22,-66
42.56,-111.3,-132
39.6042,-85.4528,-72
63.93,-145.33,-67
40.0714,-102.2328,-167
42.8633,-70.8997,-67
47.8967,-102.9208,-44
34.2833,-86.9142,39
44.4,-107.06,-46
48.1503,-104.5089,-28
40.5208,-98.0536,-106
46.93,-110.9,-145
43.465,-113.5581,-128
32.7053,-93.9603,11
37.2778,-97.4097,-56
47.4536,-104.3378,-6
42.6167,-97.2608,-89
34.7314,-77.9831,-33
35.78,-105.54,-129
31.9478,-86.3131,6
34.9831,-83.0678,-44
39.7347,-90.1978,-72
48.86,-121.44,13
42.975,-82.4194,-17
43.3728,-103.8778,-156
42.7914,-71.4736,-83
40.4586,-79.4503,-61
37.9931,-100.8122,-122
37.9233,-95.4242,-28
46.9914,-112.0122,-61
40.68,-110.95,-58
39.2453,-112.1067,-189
35.2897,-85.4736,-17
40.8592,-102.5167,-200
36.4194,-97.8747,-44
40.9383,-111.1472,-228
44.6122,-101.3369,-56
36.6122,-88.3083,22
43.7292,-98.7131,-100
44.3272,-91.9194,-22
39.4608,-105.6786,-156
41.4003,-79.8306,-78
32.7128,-82.5414,72
42.1164,-71.9075,-83
42.21,-121.13,-65
41.7594,-104.8222,-111
30.0564,-90.5803,78
28.9606,-98.4772,28
40.4119,-79.7244,-22
48.5397,-121.7422,-44
