@relation usgs-averages

@attribute 17.95780016 numeric
@attribute -66.39216119 numeric
@attribute 15.11 numeric

@data
35.000578,-110.599298,37.51
37.202368,-76.569397,148.99
35.821028,-90.856806,86.16
39.032335,-74.892393,12.72
36.607096,-76.873571,98.17
37.908333,-92.501917,17.3
36.073528,-89.813556,16.45
34.026769,-117.060878,317.4
36.683206,-76.913294,136.07
34.026769,-117.060878,260.34
31.953713,-106.605825,24.66
34.115114,-117.311744,230.09
35.186528,-89.856806,70.75
37.426608,-76.969858,32.85
35.2908,-98.483892,85.96
38.169576,-77.038306,208.4
39.845323,-91.440707,22.94
36.796317,-76.011608,7.37
36.560389,-75.997242,12.77
39.988833,-79.0375,24.41
36.594472,-91.645222,158.49
33.534558,-87.546117,43.2
30.547688,-91.19733,72.38
37.87025,-76.317293,105.3
35.150083,-89.806111,111.29
34.58259,-96.679452,104.12
30.437413,-91.141773,163.04
35.821028,-90.856806,86.16
33.09875,-117.017139,19.36
38.651719,-90.854023,41.98
32.737761,-117.072239,223.78
34.046825,-117.035878,315.44
39.459004,-75.157683,5.36
32.591006,-117.083475,27.09
34.134289,-117.4007,498.33
32.591006,-117.083475,48.08
37.744945,-77.204917,193.8
36.934028,-92.664278,293.15
39.206,-93.315278,57.41
33.500472,-117.016056,320.36
29.727452,-95.45133,255
32.831694,-107.303389,12.67
37.042964,-77.194656,99.79
35.085091,-89.808697,162.21
35.995692,-79.026047,40.98
36.60904,-76.966628,115.37
38.845222,-75.665694,15.28
37.176528,-94.287028,370.46
38.389672,-104.335817,21.52
37.300389,-93.434333,189.49
37.740407,-75.666318,78.21
33.372589,-81.979519,39.59
38.150028,-91.26075,212.29
32.616597,-117.059411,117.62
37.115417,-93.065083,210
