@relation usgs-averages

@attribute 17.95780016 numeric
@attribute -66.39216119 numeric
@attribute 15.11 numeric

@data
32.718933,-117.109947,87.42
32.737761,-117.072239,234.15
32.737761,-117.072239,234.19
32.737761,-117.072239,223.78
32.737761,-117.072239,217.69
32.737761,-117.072239,156.74
32.737761,-117.072239,37.43
32.778092,-117.120856,-14.4
32.778092,-117.120856,-14.7
32.778092,-117.120856,-14.97
32.778092,-117.120856,-11.74
32.778092,-117.120856,18.74
32.791565,-79.928421,44.85
32.831694,-107.303389,12.67
33.000696,-92.749881,268.22
33.055672,-117.046397,25.32
33.055672,-117.046397,16.91
33.055672,-117.046397,16.73
33.087344,-116.974756,65.27
33.087344,-116.974756,65.27
33.087344,-116.974756,64.89
33.09875,-117.017139,19.42
33.09875,-117.017139,19.36
33.09875,-117.017139,18.77
33.106889,-91.924572,84.71
33.172947,-80.037861,58.78
33.184383,-92.633922,320.59
33.215686,-92.810439,312.49
33.231769,-92.540047,272.62
33.244156,-92.691447,278.08
33.269042,-93.246836,267.1
33.257089,-81.962894,134.55
33.327922,-81.74289,164.46
33.32875,-82.048661,218.21
33.368303,-92.724611,149.39
33.372589,-81.979519,46.75
33.372589,-81.979519,39.59
33.424531,-82.009581,6.24
33.463203,-117.104328,94.26
33.463203,-117.104328,72.52
33.472131,-117.118572,40.33
33.472131,-117.118572,45.14
33.472131,-117.118572,47.48
33.472131,-117.118572,43.1
33.472131,-117.118572,28.38
33.472131,-117.118572,24.84
33.482722,-117.075889,304.4
33.482722,-117.075889,326.69
33.482722,-117.075889,327.46
33.482722,-117.075889,97.29
33.482722,-117.075889,49.36
33.500472,-117.016056,320.36
33.500472,-117.016056,330.71
33.500472,-117.016056,323.09
33.500472,-117.016056,85.15
33.534558,-87.546117,43.2
33.5475,-90.543889,29.8
33.705833,-89.740833,9.89
33.859258,-117.234569,67.37
33.882381,-91.258233,37.44
33.893056,-78.588611,11.77
33.893458,-82.362627,39.22
33.902311,-117.262278,12.76
33.921491,-84.277701,7.47
33.941111,-78.198611,7.74
33.941389,-78.198611,3.12
33.941944,-78.009722,61.68
33.941944,-78.009722,24.71
33.941944,-78.009722,1.18
33.980278,-78.095278,41.59
33.991492,-87.036115,43.54
34.011774,-95.088561,78.72
34.012917,-117.036392,356.21
